candidate,path,target_group,preset,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
48_C_N_night_g92_str22_ir54_16,results\candidates_round11_adaptive\48_C_N_night_g92_str22_ir54_16,DN_N,night_ir_saliency,0.009103289955566007,0.6043384107836127,6.909839407048348,2.435640173664581,0.04045105569680492,0.04018873666282943,16.730878131220642,0.4172017465355576,1.5332024056053475,0.15651136484517847,0.02055686280703937,0.6470566541757635,0.6184842155902363
49_D_GRAY_gray_vi40_std438_d60_01,results\candidates_round11_adaptive\49_D_GRAY_gray_vi40_std438_d60_01,GRAY_VI,gray_vi_struct,0.008982293818506503,0.5922319553895996,6.90798887902099,2.499274514363724,0.04038618930104759,0.034924570541147906,17.059716071362725,0.41409817081625744,1.5155771929447839,0.15628900675363439,0.02032209190382936,0.6529276591315064,0.6103530357598833
50_D_GRAY_gray_vi40_std453_d60_02,results\candidates_round11_adaptive\50_D_GRAY_gray_vi40_std453_d60_02,GRAY_VI,gray_vi_struct,0.009010919529984715,0.5922272347762096,6.911353468461663,2.499496773422514,0.04043843074681698,0.03508000602565145,17.0582353819539,0.414773008836213,1.5160719310417248,0.15664589725514894,0.020376338255927245,0.6528386437604504,0.6103483842947344
51_D_GRAY_gray_vi40_std438_d76_03,results\candidates_round11_adaptive\51_D_GRAY_gray_vi40_std438_d76_03,GRAY_VI,gray_vi_struct,0.009366883055096673,0.592397068620794,6.909071523332407,2.5024065756626586,0.040381856919867135,0.035949440773135874,17.06531056817245,0.4210446694845794,1.5169243175320266,0.15632481648716876,0.021058780088446034,0.6527753343345016,0.6105068433545084
52_D_GRAY_gray_vi40_std453_d76_04,results\candidates_round11_adaptive\52_D_GRAY_gray_vi40_std453_d76_04,GRAY_VI,gray_vi_struct,0.009402133008685483,0.5923920660541566,6.912421829192769,2.502604305195329,0.04043407200319913,0.03619233030144886,17.06396403799147,0.4216623460092852,1.5174484927940644,0.1566814297950396,0.021125423103842248,0.6526328640118721,0.6105020031711716
53_D_GRAY_gray_vi50_std438_d60_05,results\candidates_round11_adaptive\53_D_GRAY_gray_vi50_std438_d60_05,GRAY_VI,gray_vi_struct,0.008969651369918738,0.590513670563591,6.907589497583707,2.511751948940925,0.04050400797953649,0.03485650678355527,17.09311450598305,0.41368285750830047,1.5123202027953753,0.15650153456516164,0.020298854120668428,0.6528551481584067,0.6102673792909333
54_D_GRAY_gray_vi50_std453_d60_06,results\candidates_round11_adaptive\54_D_GRAY_gray_vi50_std453_d60_06,GRAY_VI,gray_vi_struct,0.008997768283851685,0.5905097008334785,6.910939664335553,2.511908463408149,0.040558516223143826,0.0350119940465897,17.09258855291485,0.41433938280228644,1.5127513514564597,0.15685870346202646,0.020351753915201456,0.6527699904255969,0.6102651326243539
55_D_GRAY_gray_vi50_std438_d76_07,results\candidates_round11_adaptive\55_D_GRAY_gray_vi50_std438_d76_07,GRAY_VI,gray_vi_struct,0.009350948055745453,0.5906851726809624,6.908648053075071,2.515368997464208,0.04049949882106395,0.03588698217545145,17.09966358894423,0.4206067749889948,1.5138129984983353,0.15653667631008292,0.021029027527229873,0.6527402203089447,0.6104256256062692
56_D_GRAY_gray_vi50_std453_d76_08,results\candidates_round11_adaptive\56_D_GRAY_gray_vi50_std453_d76_08,GRAY_VI,gray_vi_struct,0.009385698294687656,0.5906811280660863,6.911980950861267,2.5155657029294476,0.04055397073432843,0.03612231934863713,17.09931933670361,0.4212266748310417,1.514282592372745,0.15689366455039672,0.021094479478698157,0.6526027995572296,0.6104235385559014
57_D_GRAY_gray_vi60_std438_d60_09,results\candidates_round11_adaptive\57_D_GRAY_gray_vi60_std438_d60_09,GRAY_VI,gray_vi_struct,0.008958538117948719,0.5890483731631514,6.907340251145457,2.522738079037593,0.040609634750502645,0.034814346191142834,17.12272810660792,0.4133143755056525,1.5091741170873547,0.1566945319214175,0.020278485330100154,0.652768429488905,0.6103734513376474
58_D_GRAY_gray_vi60_std453_d60_10,results\candidates_round11_adaptive\58_D_GRAY_gray_vi60_std453_d60_10,GRAY_VI,gray_vi_struct,0.008986451768226201,0.5890443458520112,6.910676153229539,2.522979860511979,0.040666111143461116,0.03496812524334077,17.12308684731903,0.41398705461973784,1.5095253252973433,0.1570518424594274,0.02033107708518554,0.6526852073047751,0.61037210256164
59_D_GRAY_gray_vi60_std438_d76_11,results\candidates_round11_adaptive\59_D_GRAY_gray_vi60_std438_d76_11,GRAY_VI,gray_vi_struct,0.009337495251368452,0.5892248998928294,6.908379307642497,2.5269234959213747,0.04060498863065575,0.03585366040508273,17.130237145282347,0.42023849006622066,1.5108033437527466,0.15672931083107508,0.02100351733700242,0.6526845386752518,0.6105366926649917
60_D_GRAY_gray_vi60_std453_d76_12,results\candidates_round11_adaptive\60_D_GRAY_gray_vi60_std453_d76_12,GRAY_VI,gray_vi_struct,0.009371310307253753,0.5892204433153115,6.91170592437512,2.5271075510886716,0.040661377668310635,0.03608622177634188,17.13080795022825,0.42084713264178203,1.5111970859041266,0.15708596027025612,0.02106780293723349,0.6525502933129188,0.6105356298405785
61_D_GRAY_gray_vi68_std438_d60_13,results\candidates_round11_adaptive\61_D_GRAY_gray_vi68_std438_d60_13,GRAY_VI,gray_vi_struct,0.008951208434037624,0.5880288642819367,6.907239923970501,2.530787364384348,0.040685827617899024,0.03479280628724604,17.14403305309199,0.4130954421976561,1.5067441392592398,0.15683503080439823,0.020264850004378106,0.6526940435331355,0.6104447235107809
62_D_GRAY_gray_vi68_std453_d60_14,results\candidates_round11_adaptive\62_D_GRAY_gray_vi68_std453_d60_14,GRAY_VI,gray_vi_struct,0.008978948382640718,0.588024929707839,6.91057283727147,2.5310015199158844,0.04074376004858203,0.034948882261311175,17.14501866224709,0.4137380084683818,1.5070253716749993,0.15719232988613907,0.020316895283685788,0.6526134038964907,0.6104433583654456
63_D_GRAY_gray_vi68_std438_d76_15,results\candidates_round11_adaptive\63_D_GRAY_gray_vi68_std438_d76_15,GRAY_VI,gray_vi_struct,0.009327701943856414,0.588208920282549,6.9082723785364255,2.5353157221473195,0.04068100189862733,0.035839939294683355,17.152264831605457,0.41997543970743817,1.5084725673366106,0.15686897460811883,0.02098534419294151,0.6526336704370796,0.6106089916966733
64_D_GRAY_gray_vi68_std453_d76_16,results\candidates_round11_adaptive\64_D_GRAY_gray_vi68_std453_d76_16,GRAY_VI,gray_vi_struct,0.009361649758272594,0.5882043633390679,6.911584511492329,2.535527382143585,0.04073891569221873,0.03607542733711901,17.153510529028864,0.4205631334935465,1.5088014617186378,0.15722616818002474,0.021049350331168514,0.6525002467215703,0.6106074830672497
